,Mean,Stddev,Median
418,1.7947664,0.20191807,1.7607746
419,1.7945852,0.20313773,1.7595868
420,1.7929655,0.2027423,1.761533
421,1.790517,0.20247166,1.7541668
422,1.7936863,0.2085477,1.7553942
423,1.7871006,0.20509246,1.7475593
424,1.7830918,0.20253651,1.7484224
425,1.7819141,0.20608304,1.7490313
426,1.7826303,0.20412956,1.7486552
427,1.775421,0.20196342,1.7424129
428,1.7765266,0.20475636,1.7356355
429,1.7723436,0.20411792,1.73409
430,1.7685592,0.2078406,1.7264421
431,1.7666589,0.20686452,1.7238991
432,1.7681453,0.20803702,1.7276261
433,1.7639837,0.20892417,1.7249087
434,1.7624533,0.2114137,1.7223413
435,1.7585139,0.21563989,1.7188156
436,1.758709,0.21904859,1.7161132
437,1.7554487,0.21261577,1.7159605
438,1.749521,0.20904435,1.7128425
439,1.7479848,0.21027984,1.7144738
440,1.7462267,0.21596615,1.7058758
441,1.7427775,0.21081382,1.703284
442,1.7409014,0.20890002,1.699831
443,1.7378068,0.21139678,1.6976756
444,1.7394812,0.21137565,1.6982627
445,1.7363561,0.21098511,1.6962467
446,1.73742,0.21172796,1.6957303
447,1.7343436,0.21167096,1.6919243
448,1.7339164,0.2137347,1.6904409
449,1.7335637,0.2120191,1.6914278
450,1.7295486,0.21175177,1.6869948
451,1.7303919,0.21180245,1.6850414
452,1.7297101,0.21577449,1.6850861
453,1.7300415,0.21880227,1.6821036
454,1.728514,0.29818693,1.678985
455,1.7260194,0.21818762,1.6751666
456,1.7236254,0.21699111,1.6730249
457,1.7271651,0.22080716,1.6749793
458,1.725599,0.21922578,1.6764002
459,1.7252759,0.22106215,1.670045
460,1.7193223,0.22344156,1.6639154
461,1.7186238,0.2201001,1.6642859
462,1.7188761,0.22185202,1.6641562
463,1.7187196,0.22462785,1.6644124
464,1.7172214,0.2247657,1.6612551
465,1.713848,0.22285186,1.6565152
466,1.7156489,0.22662462,1.6574632
467,1.7140701,0.22439758,1.6559317
468,1.7124101,0.22173049,1.6569843
469,1.7132002,0.22425263,1.6539516
470,1.7092022,0.22417136,1.6520096
471,1.7090877,0.22333084,1.6480767
472,1.7073848,0.22528803,1.647037
473,1.7079198,0.22613935,1.6488429
474,1.7040308,0.22565651,1.640233
475,1.7046808,0.22668865,1.641023
476,1.7015291,0.22556475,1.6399544
477,1.6962303,0.22279678,1.6338631
478,1.6947725,0.22121932,1.63271
479,1.6961007,0.22213437,1.6359061
480,1.6919234,0.22470807,1.6310186
481,1.6934624,0.22718747,1.6306813
482,1.6918706,0.230414,1.6245893
483,1.689989,0.22844978,1.6232753
484,1.6889749,0.2290841,1.6211137
485,1.6886061,0.22993323,1.6222608
486,1.6885769,0.23120055,1.6180673
487,1.686198,0.23066846,1.6163976
488,1.6861637,0.23023385,1.6159669
489,1.6863546,0.2329017,1.616118
490,1.6838813,0.23210235,1.6140665
491,1.6835234,0.23054501,1.6133089
492,1.6830394,0.2337681,1.6118429
493,1.6802897,0.22933681,1.6097445
494,1.6774362,0.22959775,1.6069496
495,1.677274,0.22934917,1.6112374
496,1.6750039,0.22698614,1.6066505
497,1.6730006,0.22881417,1.6035986
498,1.6729232,0.22892965,1.6006622
499,1.6712718,0.22885315,1.6037626
500,1.6697022,0.22774462,1.5979292
501,1.6727506,0.23100428,1.5996147
502,1.670108,0.22980088,1.5977029
503,1.6727629,0.22923532,1.6017329
504,1.6717201,0.23032777,1.5972263
505,1.6692148,0.23075101,1.5949721
506,1.6724349,0.23157203,1.5983086
507,1.6719338,0.23179385,1.5958105
508,1.6730249,0.23448728,1.5914588
509,1.6743016,0.23654702,1.5930243
510,1.6714686,0.23587812,1.5918899
511,1.67589,0.23782225,1.5956811
512,1.676307,0.23809698,1.5920856
513,1.6766994,0.23971339,1.5907695
514,1.6822991,0.24116041,1.5960453
515,1.6987345,0.6166637,1.5890669
516,1.7292737,0.89482623,1.5940814
517,1.7149884,0.7306618,1.6014153
518,1.6842657,0.24114507,1.5985743
519,1.7486924,0.9606312,1.5975885
520,1.7382051,0.8950682,1.6083759
521,1.7379633,0.831096,1.6063024
522,1.7210785,0.7754726,1.6013262
523,1.7014918,0.5181839,1.6048855
524,1.7237809,0.80047905,1.605063
525,1.6895789,0.27635553,1.6005186
526,1.6905203,0.24582155,1.5999076
527,1.6905229,0.24708882,1.6056416
528,1.6929537,0.24928932,1.6162903
529,1.6929075,0.2451671,1.6139811
530,1.6935362,0.24683073,1.6120464
531,1.697003,0.2511381,1.615893
532,1.6938596,0.250174,1.6173905
533,1.6962672,0.24943027,1.622576
534,1.6948684,0.24943814,1.6199619
535,1.6998909,0.25124627,1.6385099
536,1.7037206,0.25341156,1.6383964
537,1.70375,0.25377432,1.6478506
538,1.7037594,0.25497553,1.6446954
539,1.7054695,0.25360793,1.6501187
540,1.7037059,0.25022668,1.6519272
541,1.7046618,0.25115922,1.6576722
542,1.7038342,0.25044486,1.6510891
543,1.70728,0.2513432,1.6632696
544,1.7078989,0.2496992,1.6686958
545,1.7057308,0.24913114,1.6647465
546,1.7081735,0.25177053,1.6665641
547,1.7041639,0.246929,1.6680522
548,1.704924,0.24795505,1.6717802
549,1.7069039,0.25047502,1.6727918
550,1.7059716,0.24710436,1.6726308
551,1.7082496,0.24917006,1.6790168
552,1.7075468,0.24722846,1.670958
553,1.7112197,0.2494978,1.6781027
554,1.7117773,0.24986722,1.6806761
555,1.7119598,0.24898086,1.6789365
556,1.7110454,0.24600674,1.681737
557,1.7139566,0.24682942,1.6878021
558,1.7136354,0.24553773,1.6865404
559,1.7165517,0.24735563,1.6903079
560,1.7154038,0.2460881,1.6932914
561,1.7214324,0.24564095,1.7025386
562,1.7218163,0.24920881,1.701996
